PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
node-color-name	1.1.4+~1.1.1-2	all	26624	26.00 KB	0	-	1
node-colors	1.4.0-3	all	69632	68.00 KB	0	nodejs	2
node-columnify	1.5.4+~1.5.1-1	all	49152	48.00 KB	0	node-strip-ansi, node-wcwidth.js	1
node-combined-stream	1.0.8+~1.0.3-1	all	27648	27.00 KB	0	node-delayed-stream, nodejs	1
node-commander	9.0.0-2	all	203776	199.00 KB	0	-	1
node-console-control-strings	1.1.0-2	all	17408	17.00 KB	0	nodejs	2
node-copy-concurrently	1.0.5-8	all	24576	24.00 KB	0	node-aproba, node-fs-write-stream-atomic, node-iferr, node-mkdirp (>= 1), node-rimraf, node-run-queue	2
node-core-util-is	1.0.3-1	all	17408	17.00 KB	0	-	1
node-coveralls	3.1.1-1	all	52224	51.00 KB	0	node-growl, node-js-yaml, node-lcov-parse, node-log-driver, node-minimist, node-fetch, nodejs:any	1
node-cssom	0.4.4-3	all	76800	75.00 KB	0	nodejs	2
node-cssstyle	2.3.0-2	all	246784	241.00 KB	0	node-cssom	1
node-debug	4.3.2+~cs4.1.7-1	all	49152	48.00 KB	0	node-ms, nodejs	4
node-decompress-response	6.0.0-2	all	17408	17.00 KB	0	node-mimic-response	1
node-defaults	1.0.3+~1.0.3-1	all	18432	18.00 KB	0	node-clone	1
node-delayed-stream	1.0.0-5	all	20480	20.00 KB	0	-	1
node-delegates	1.0.0-3	all	19456	19.00 KB	0	-	1
node-depd	2.0.0-2	all	34816	34.00 KB	0	-	1
node-diff	5.0.0~dfsg+~5.0.1-3	all	424960	415.00 KB	0	-	1
node-encoding	0.1.13-2	all	18432	18.00 KB	0	node-iconv-lite	2
node-end-of-stream	1.4.4+~1.4.1-1	all	21504	21.00 KB	0	node-once	1
node-err-code	2.0.3+dfsg-3	all	19456	19.00 KB	0	-	1
node-escape-string-regexp	4.0.0-2	all	16384	16.00 KB	0	-	4
node-esprima	4.0.1+ds+~4.0.3-2	all	484352	473.00 KB	0	nodejs:any	1
node-events	3.3.0+~3.0.0-2	all	21504	21.00 KB	0	libjs-events, nodejs	1
node-fancy-log	1.3.3+~cs1.3.1-2	all	40960	40.00 KB	0	node-time-stamp	0
node-fetch	2.6.7+~2.5.12-1	all	190464	186.00 KB	0	node-whatwg-url	1
node-foreground-child	2.0.0-3	all	19456	19.00 KB	0	node-signal-exit	1
node-form-data	3.0.1-1	all	38912	38.00 KB	0	node-asynckit, node-combined-stream, node-mime-types	1
node-fs-write-stream-atomic	1.0.10-5	all	20480	20.00 KB	0	node-graceful-fs, node-iferr, node-imurmurhash	2
node-fs.realpath	1.0.0-2	all	25600	25.00 KB	0	-	1
node-function-bind	1.1.1+repacked+~1.0.3-1	all	28672	28.00 KB	0	-	0
node-gauge	4.0.2-1	all	56320	55.00 KB	0	node-ansi-regex, node-aproba, node-console-control-strings, node-color-support, node-has-unicode, node-signal-exit, node-string-width, node-strip-ansi, node-wide-align	1
node-get-stream	6.0.1-1	all	21504	21.00 KB	0	node-pump	1
node-glob	7.2.1+~cs7.6.15-1	all	224256	219.00 KB	0	node-fs.realpath, node-inflight, node-inherits, node-minimatch (>= 3.1.1~), node-once, node-path-is-absolute	7
node-got	11.8.3+~cs58.7.37-1	all	553984	541.00 KB	0	node-decompress-response, node-get-stream, node-lowercase-keys, node-json-buffer, node-mimic-response, node-p-cancelable (>= 2.0.0~), node-quick-lru	2
node-graceful-fs	4.2.4+repack-1	all	46080	45.00 KB	0	nodejs	6
node-growl	1.10.5-4	all	26624	26.00 KB	0	libnotify-bin	1
node-gyp	8.4.1-1	all	133120	130.00 KB	0	gyp (>= 0.1+20200513gitcaa6002), libnode-dev, node-glob, node-graceful-fs, node-mkdirp, node-whatwg-fetch, node-nopt, node-npmlog, node-osenv, node-rimraf, node-semver (>= 7), node-tar, node-which, nodejs:any	2
node-has-flag	4.0.0-2	all	16384	16.00 KB	0	-	1
node-has-unicode	2.0.1-4	all	15360	15.00 KB	0	-	1
node-hosted-git-info	4.0.2-1	all	33792	33.00 KB	0	node-lru-cache	3
node-https-proxy-agent	5.0.0+~cs8.0.0-3	all	93184	91.00 KB	0	node-agent-base, node-debug (>= 4), node-events	3
node-iconv-lite	0.6.3-2	all	364544	356.00 KB	0	node-safe-buffer (>= 5.2.1+~cs2.1.2)	2
node-iferr	1.0.2+~1.0.2-1	all	19456	19.00 KB	0	-	2
node-imurmurhash	0.1.4+dfsg+~0.1.1-1	all	28672	28.00 KB	0	-	3
node-indent-string	4.0.0-2	all	16384	16.00 KB	0	-	1
node-inflight	1.0.6-2	all	15360	15.00 KB	0	node-once, node-wrappy	1
node-inherits	2.0.4-4	all	16384	16.00 KB	0	libjs-inherits (= 2.0.4-4)	2
node-ini	2.0.1-1	all	22528	22.00 KB	0	-	1
node-ip	1.1.5+~1.1.0-1	all	34816	34.00 KB	0	-	1
node-ip-regex	4.3.0+~4.1.1-1	all	22528	22.00 KB	0	-	1
node-is-buffer	2.0.5-2	all	17408	17.00 KB	0	-	1
node-is-plain-obj	3.0.0-2	all	16384	16.00 KB	0	-	1
node-is-typedarray	1.0.0-4	all	13312	13.00 KB	0	libjs-is-typedarray	2
node-isarray	2.0.5-3	all	15360	15.00 KB	0	-	1
node-isexe	2.0.0+~2.0.1-4	all	24576	24.00 KB	0	-	2
node-js-yaml	4.1.0+dfsg+~4.0.5-6	all	453632	443.00 KB	0	node-argparse, node-esprima, nodejs:any	4
node-jsdom	19.0.0+~cs90.11.27-1	all	4465664	4.26 MB	0	node-abab, node-cssom, node-cssstyle, node-form-data, node-https-proxy-agent (>= 5.0.0+~cs8.0.0-2~), node-iconv-lite, node-lodash-packages, node-stealthy-require, node-tough-cookie, node-webidl-conversions, node-ws	0
node-json-buffer	3.0.1-1	all	15360	15.00 KB	0	nodejs	1
node-json-parse-better-errors	1.0.2+~cs3.3.1-1	all	28672	28.00 KB	0	-	2
node-jsonparse	1.3.1-10	all	43008	42.00 KB	0	-	2
node-kind-of	6.0.3+dfsg-2	all	21504	21.00 KB	0	node-is-buffer	1
node-lcov-parse	1.0.0+20170612git80d039574ed9-5	all	22528	22.00 KB	0	nodejs	1
node-lodash-packages	4.17.21+dfsg+~cs8.31.198.20210220-5	all	10140672	9.67 MB	0	-	1
node-log-driver	1.2.7+git+20180219+bba1761737-7	all	18432	18.00 KB	0	nodejs (>= 10)	1
node-lowercase-keys	2.0.0-2	all	15360	15.00 KB	0	-	1
node-lru-cache	6.0.0+~5.1.1-1	all	35840	35.00 KB	0	node-yallist	4
node-mime	3.0.0+dfsg+~cs3.96.1-1	all	270336	264.00 KB	0	nodejs:any	1
node-mime-types	2.1.33-1	all	29696	29.00 KB	0	node-mime (>= 2.4.4)	1
node-mimic-response	3.1.0-7	all	20480	20.00 KB	0	-	2
node-minimatch	3.1.1+~3.0.5-1	all	53248	52.00 KB	0	node-brace-expansion	2
node-minimist	1.2.5+~cs5.3.2-1	all	40960	40.00 KB	0	node-arrify, node-is-plain-obj, node-kind-of	1
node-minipass	3.1.6+~cs8.7.18-1	all	126976	124.00 KB	0	node-encoding, node-jsonparse, node-yallist (>= 4.0.0)	2
node-mkdirp	1.0.4+~1.0.2-1	all	36864	36.00 KB	0	nodejs:any	7
node-move-concurrently	1.0.1-4	all	18432	18.00 KB	0	node-aproba, node-copy-concurrently, node-fs-write-stream-atomic, node-mkdirp, node-rimraf, node-run-queue	1
node-ms	2.1.3+~cs0.7.31-2	all	21504	21.00 KB	0	nodejs	2
node-mute-stream	0.0.8+~0.0.1-1	all	25600	25.00 KB	0	-	1
node-negotiator	0.6.2+~0.6.1-1	all	53248	52.00 KB	0	-	1
node-nopt	5.0.0-2	all	36864	36.00 KB	0	node-abbrev, nodejs:any	2
node-normalize-package-data	3.0.3+~2.4.1-1	all	46080	45.00 KB	0	node-hosted-git-info (>= 3), node-resolve (>= 1.10.0~), node-semver, node-validate-npm-package-license, nodejs	2
node-npm-bundled	1.1.2-1	all	26624	26.00 KB	0	-	1
node-npm-package-arg	8.1.5-1	all	28672	28.00 KB	0	node-hosted-git-info (>= 4.0.2~), node-osenv, node-semver, node-validate-npm-package-name	1
node-npmlog	6.0.1+~4.1.4-1	all	33792	33.00 KB	0	node-are-we-there-yet, node-console-control-strings, node-gauge (>= 4), node-set-blocking	2
node-object-assign	4.1.1-6	all	17408	17.00 KB	0	nodejs	1
node-once	1.4.0-4	all	16384	16.00 KB	0	node-wrappy	5
node-opener	1.5.2+~1.4.0-1	all	27648	27.00 KB	0	nodejs:any, xdg-utils	2
node-osenv	0.1.5+~0.1.0-1	all	22528	22.00 KB	0	-	2
node-p-cancelable	2.1.1-1	all	22528	22.00 KB	0	-	1
node-p-map	4.0.0+~3.1.0+~3.0.1-1	all	31744	31.00 KB	0	node-escape-string-regexp, node-indent-string	1
node-path-is-absolute	2.0.0-2	all	15360	15.00 KB	0	-	1
node-process-nextick-args	2.0.1-2	all	15360	15.00 KB	0	-	1
node-promise-inflight	1.0.1+~1.0.0-1	all	19456	19.00 KB	0	-	1
node-promise-retry	2.0.1-2	all	18432	18.00 KB	0	node-err-code (>= 2.0.0), node-retry (>= 0.10.0)	1
node-promzard	0.3.0-2	all	20480	20.00 KB	0	node-read	1
node-psl	1.8.0+ds-6	all	154624	151.00 KB	0	libjs-psl, node-punycode, nodejs	1
node-pump	3.0.0-5	all	18432	18.00 KB	0	node-end-of-stream, node-once	1
node-punycode	2.1.1-5	all	41984	41.00 KB	0	nodejs	2
node-quick-lru	5.1.1-1	all	21504	21.00 KB	0	-	1
node-read	1.0.7-3	all	20480	20.00 KB	0	node-mute-stream	3
node-read-package-json	4.1.1-1	all	35840	35.00 KB	0	node-glob, node-json-parse-better-errors, node-normalize-package-data (>= 3.0.3~), node-slash, nodejs	1
node-readable-stream	3.6.0+~cs3.0.0-1	all	152576	149.00 KB	0	node-inherits, node-core-util-is, node-string-decoder, node-safe-buffer, node-process-nextick-args, node-util-deprecate, node-isarray	1
node-resolve	1.20.0+~cs5.27.9-1	all	123904	121.00 KB	0	node-has	1
node-retry	0.13.1+~0.12.1-1	all	39936	39.00 KB	0	-	1
node-rimraf	3.0.2-1	all	40960	40.00 KB	0	node-glob, nodejs	6
node-run-queue	2.0.0-2	all	18432	18.00 KB	0	node-aproba	2
node-safe-buffer	5.2.1+~cs2.1.2-2	all	54272	53.00 KB	0	-	4
node-semver	7.3.5+~7.3.8-1	all	191488	187.00 KB	0	node-lru-cache, nodejs (>= 10)	6
node-set-blocking	2.0.0-2	all	15360	15.00 KB	0	-	1
node-signal-exit	3.0.6+~3.0.1-1	all	27648	27.00 KB	0	-	4
node-slash	3.0.0-2	all	15360	15.00 KB	0	-	1
node-slice-ansi	5.0.0+~cs9.0.0-4	all	31744	31.00 KB	0	node-ansi-styles	1
node-source-map	0.7.0++dfsg2+really.0.6.1-9	all	141312	138.00 KB	0	libjs-source-map (= 0.7.0++dfsg2+really.0.6.1-9)	1
node-source-map-support	0.5.21+ds+~0.5.4-1	all	49152	48.00 KB	0	nodejs, node-source-map	1
node-spdx-correct	3.1.1-2	all	24576	24.00 KB	0	node-spdx-license-ids (>= 3.0.0), node-spdx-expression-parse (>= 3.0.0)	1
node-spdx-exceptions	2.3.0-2	all	15360	15.00 KB	0	-	1
node-spdx-expression-parse	3.0.1+~3.0.1-1	all	30720	30.00 KB	0	node-spdx-exceptions (>= 2.0.1), node-spdx-license-ids (>= 3.0.0)	2
node-spdx-license-ids	3.0.11-1	all	27648	27.00 KB	0	-	2
node-sprintf-js	1.1.2+ds1+~1.1.2-1	all	29696	29.00 KB	0	libjs-sprintf-js (= 1.1.2+ds1+~1.1.2-1)	1
node-ssri	8.0.1-2	all	61440	60.00 KB	0	node-yallist (>= 4.0.0), nodejs	2
node-stack-utils	2.0.5+~2.0.1-1	all	28672	28.00 KB	0	nodejs, node-escape-string-regexp	1
node-stealthy-require	1.1.1-5	all	20480	20.00 KB	0	-	1
node-string-decoder	1.3.0-5	all	26624	26.00 KB	0	node-safe-buffer	1
node-string-width	4.2.3+~cs13.2.3-1	all	124928	122.00 KB	0	node-slice-ansi (>= 5.0.0+~cs9.0.0-2~), node-is-fullwidth-code-point, node-strip-ansi, node-wcwidth.js	5
node-strip-ansi	6.0.1-1	all	16384	16.00 KB	0	nodejs, node-ansi-regex	5
node-supports-color	8.1.1+~8.1.1-1	all	26624	26.00 KB	0	node-has-flag	3
node-tap	12.0.1+ds-4	all	216064	211.00 KB	0	nodejs, node-clean-yaml-object, node-supports-color, node-foreground-child, node-glob, node-isexe, node-js-yaml (>= 4~), node-mkdirp, node-rimraf, node-signal-exit, node-source-map-support, node-stack-utils, node-tap-mocha-reporter, node-tap-parser, node-tmatch, node-write-file-atomic	3
node-tap-mocha-reporter	3.0.7+ds-2	all	145408	142.00 KB	0	node-debug, node-diff, node-escape-string-regexp, node-glob, node-js-yaml, node-strip-ansi, node-supports-color, node-tap-parser, nodejs:any	1
node-tap-parser	7.0.0+ds1-6	all	70656	69.00 KB	0	node-js-yaml, nodejs:any	3
node-tar	6.1.11+ds1+~cs6.0.6-1	all	182272	178.00 KB	0	node-chownr, node-mkdirp (>= 1), node-minipass, node-safe-buffer, node-yallist (>= 4.0~)	3
node-text-table	0.2.0-4	all	19456	19.00 KB	0	-	1
node-time-stamp	2.2.0-1	all	18432	18.00 KB	0	-	1
node-tmatch	5.0.0-4	all	21504	21.00 KB	0	-	1
node-tough-cookie	4.0.0-2	all	107520	105.00 KB	0	node-psl, node-punycode, node-universalify	1
node-typedarray-to-buffer	4.0.0-2	all	14336	14.00 KB	0	libjs-typedarray-to-buffer (= 4.0.0-2), node-is-typedarray	1
node-unique-filename	1.1.1+ds-1	all	19456	19.00 KB	0	nodejs, node-imurmurhash	1
node-universalify	2.0.0-3	all	15360	15.00 KB	0	-	1
node-util-deprecate	1.0.2-3	all	19456	19.00 KB	0	-	1
node-validate-npm-package-license	3.0.4-2	all	17408	17.00 KB	0	node-spdx-correct, node-spdx-expression-parse	2
node-validate-npm-package-name	3.0.0-4	all	18432	18.00 KB	0	node-builtins (>= 3)	3
node-wcwidth.js	1.0.2-1	all	21504	21.00 KB	0	node-defaults	2
node-webidl-conversions	7.0.0~1.1.0+~cs15.1.20180823-2	all	94208	92.00 KB	0	-	1
node-whatwg-fetch	3.6.2-5	all	62464	61.00 KB	0	-	1
node-which	2.0.2+~cs1.3.2-2	all	30720	30.00 KB	0	node-isexe (>= 2.0.0-5~), nodejs:any	2
node-wide-align	1.1.3-4	all	16384	16.00 KB	0	node-string-width	1
node-wrappy	1.0.2-2	all	14336	14.00 KB	0	-	3
node-write-file-atomic	3.0.3+~3.0.2-1	all	31744	31.00 KB	0	node-imurmurhash, node-is-typedarray, node-signal-exit, node-typedarray-to-buffer, nodejs	2
node-ws	8.5.0+~cs13.3.3-2	all	214016	209.00 KB	0	node-commander, node-https-proxy-agent, node-read, nodejs:any	1
node-yallist	4.0.0+~4.0.1-1	all	31744	31.00 KB	0	-	5
nodejs	12.22.9~dfsg-1ubuntu3.6	amd64	928768	907.00 KB	0	libc6 (>= 2.34), libnode72 (= 12.22.9~dfsg-1ubuntu3.6)	33
nodejs-doc	12.22.9~dfsg-1ubuntu3.6	all	9507840	9.07 MB	0	libjs-highlight.js	1
npm	8.5.1~ds-1	all	2710528	2.58 MB	1	ca-certificates, node-abbrev, node-agent-base, node-ansistyles, node-aproba, node-archy, node-asap, node-cacache, node-chalk, node-chownr, node-cli-table3, node-colors, node-columnify, node-debug, node-depd, node-emoji-regex, node-encoding, node-glob, node-got, node-graceful-fs, node-gyp, node-hosted-git-info, node-https-proxy-agent, node-ini, node-ip, node-ip-regex, node-json-parse-better-errors, node-jsonparse, node-lru-cache, node-minimatch, node-minipass, node-mkdirp, node-ms, node-negotiator, node-nopt, node-normalize-package-data, node-npm-bundled, node-npm-package-arg, node-npmlog, node-once, node-promise-retry, node-promzard, node-read, node-read-package-json, node-rimraf, node-semver, node-ssri, node-string-width, node-strip-ansi, node-tar, node-text-table, node-validate-npm-package-license, node-validate-npm-package-name, node-which, node-wrappy, node-write-file-atomic, node-yallist, nodejs:any (>= 10)	2
ntfs-3g	1:2021.8.22-3ubuntu1.2	amd64	1331200	1.27 MB	0	libc6 (>= 2.34), libgcrypt20 (>= 1.9.0), libgnutls30 (>= 3.7.2), libntfs-3g89 (= 1:2021.8.22-3ubuntu1.2)	2
open-iscsi	2.1.5-1ubuntu1.1	amd64	1254400	1.20 MB	1	debconf (>= 0.5) | debconf-2.0, init-system-helpers (>= 1.51), libc6 (>= 2.34), libisns0, libkmod2 (>= 5~), libmount1 (>= 2.24.2), libopeniscsiusr (>= 2.1.5), libssl3 (>= 3.0.0~~alpha1), libsystemd0, udev	2
open-vm-tools	2:12.3.5-3~ubuntu0.22.04.2	amd64	3244032	3.09 MB	1	libc6 (>= 2.34), libdrm2 (>= 2.4.3), libfuse3-3 (>= 3.2.3), libgcc-s1 (>= 3.3), libglib2.0-0 (>= 2.31.8), libmspack0 (>= 0.4), libssl3 (>= 3.0.0~~alpha1), libtirpc3 (>= 1.0.2), libudev1 (>= 183), libxml2 (>= 2.7.4), libxmlsec1 (>= 1.2.33), libxmlsec1-openssl (>= 1.2.33), pciutils, iproute2, lsb-release	2
openmpi-bin	4.0.3-0ubuntu1	amd64	369664	361.00 KB	0	libc6 (>= 2.8), libevent-2.1-7 (>= 2.1.8-stable), libopenmpi3 (>= 4.0.3), openmpi-common (>= 4.0.3-0ubuntu1), openssh-client | ssh-client	0
openssh-client	1:8.9p1-3ubuntu0.13	amd64	3166208	3.02 MB	0	adduser (>= 3.10), dpkg (>= 1.7.0), passwd, libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libfido2-1 (>= 1.8.0), libgssapi-krb5-2 (>= 1.17), libselinux1 (>= 3.1~), libssl3 (>= 3.0.2), zlib1g (>= 1:1.1.4)	8
openssh-server	1:8.9p1-3ubuntu0.13	amd64	1541120	1.47 MB	1	adduser (>= 3.9), dpkg (>= 1.9.0), libpam-modules (>= 0.72-9), libpam-runtime (>= 0.76-14), lsb-base (>= 4.1+Debian3), openssh-client (= 1:8.9p1-3ubuntu0.13), openssh-sftp-server, procps, ucf (>= 0.28), debconf (>= 0.5) | debconf-2.0, libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), libcom-err2 (>= 1.43.9), libcrypt1 (>= 1:4.1.0), libgssapi-krb5-2 (>= 1.17), libkrb5-3 (>= 1.13~alpha1+dfsg), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~), libssl3 (>= 3.0.2), libsystemd0, libwrap0 (>= 7.6-4~), zlib1g (>= 1:1.1.4)	6
openssh-sftp-server	1:8.9p1-3ubuntu0.13	amd64	103424	101.00 KB	1	openssh-client (= 1:8.9p1-3ubuntu0.13), libc6 (>= 2.34), libssl3 (>= 3.0.0~~alpha1)	1
openssl	3.0.2-0ubuntu1.19	amd64	2102272	2.00 MB	0	libc6 (>= 2.34), libssl3 (>= 3.0.2-0ubuntu1.2)	1
overlayroot	0.47ubuntu1	all	67584	66.00 KB	1	cryptsetup, cryptsetup-bin, initramfs-tools	0
packagekit	1.2.5-2ubuntu3	amd64	1630208	1.55 MB	0	libglib2.0-bin, policykit-1, init-system-helpers (>= 1.52), libappstream4 (>= 0.10.0), libapt-pkg6.0 (>= 1.9.2), libc6 (>= 2.34), libgcc-s1 (>= 3.3.1), libglib2.0-0 (>= 2.61.2), libgstreamer1.0-0 (>= 1.0.0), libpackagekit-glib2-18 (>= 1.2.4), libpolkit-gobject-1-0 (>= 0.99), libsqlite3-0 (>= 3.5.9), libstdc++6 (>= 11), libsystemd0 (>= 214)	3
packagekit-tools	1.2.5-2ubuntu3	amd64	125952	123.00 KB	0	packagekit (= 1.2.5-2ubuntu3), libc6 (>= 2.34), libglib2.0-0 (>= 2.54), libpackagekit-glib2-18 (>= 1.2.5)	1
packages-microsoft-prod	1.0-ubuntu20.04.1	all	43008	42.00 KB	1	apt-transport-https, ca-certificates	0
parted	3.4-2build1	amd64	171008	167.00 KB	0	libc6 (>= 2.34), libparted2 (= 3.4-2build1), libreadline8 (>= 6.0), libtinfo6 (>= 6)	4
passwd	1:4.8.1-2ubuntu2.2	amd64	2380800	2.27 MB	0	libaudit1 (>= 1:2.2.1), libc6 (>= 2.34), libcrypt1 (>= 1:4.1.0), libpam0g (>= 0.99.7.1), libselinux1 (>= 3.1~), libsemanage2 (>= 2.0.3), libpam-modules	4
pastebinit	1.5.1-1ubuntu1	all	155648	152.00 KB	0	python3, python3-distro	1
patch	2.7.6-7build2	amd64	234496	229.00 KB	1	libc6 (>= 2.34)	5
pci.ids	0.0~2022.01.22-1ubuntu0.1	all	1312768	1.25 MB	0	-	2
pciutils	1:3.7.0-6	amd64	176128	172.00 KB	0	libc6 (>= 2.34), libkmod2 (>= 5~), libpci3 (= 1:3.7.0-6)	4
perl	5.34.0-3ubuntu1.5	amd64	735232	718.00 KB	0	perl-base (= 5.34.0-3ubuntu1.5), perl-modules-5.34 (>= 5.34.0-3ubuntu1.5), libperl5.34 (= 5.34.0-3ubuntu1.5)	30
perl-base	5.34.0-3ubuntu1.5	amd64	7924736	7.56 MB	0	-	9
perl-modules-5.34	5.34.0-3ubuntu1.5	all	18096128	17.26 MB	0	perl-base (>= 5.34.0-1)	2
perl-openssl-defaults	5build2	amd64	27648	27.00 KB	0	libc6 (>= 2.34), libssl3 (>= 3.0.0~~alpha1)	0
pigz	2.6-1	amd64	161792	158.00 KB	0	libc6 (>= 2.33), zlib1g (>= 1:1.2.6)	1
pinentry-curses	1.1.1-1build2	amd64	94208	92.00 KB	0	libassuan0 (>= 2.1.0), libc6 (>= 2.34), libgpg-error0 (>= 1.16), libncursesw6 (>= 6), libtinfo6 (>= 6)	1
pinentry-gnome3	1.1.1-1build2	amd64	107520	105.00 KB	0	gcr, libassuan0 (>= 2.1.0), libc6 (>= 2.34), libgcr-base-3-1 (>= 3.8.0), libglib2.0-0 (>= 2.26.0), libgpg-error0 (>= 1.16), libncursesw6 (>= 6), libsecret-1-0 (>= 0.7), libtinfo6 (>= 6)	2
pipewire	0.3.48-1ubuntu3	amd64	28672	28.00 KB	0	libpipewire-0.3-modules (= 0.3.48-1ubuntu3), pipewire-bin (= 0.3.48-1ubuntu3), init-system-helpers (>= 1.52)	0
pipewire-bin	0.3.48-1ubuntu3	amd64	1454080	1.39 MB	0	libpipewire-0.3-modules (= 0.3.48-1ubuntu3), libasound2 (>= 1.2.1.1), libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libncursesw6 (>= 6), libpipewire-0.3-0 (= 0.3.48-1ubuntu3), libreadline8 (>= 6.0), libsndfile1 (>= 1.0.20), libtinfo6 (>= 6)	0
pipewire-media-session	0.4.1-2ubuntu1	amd64	520192	508.00 KB	0	pipewire (>= 0.3.39), init-system-helpers (>= 1.52), libc6 (>= 2.34), libdbus-1-3 (>= 1.9.14), libpipewire-0.3-0 (>= 0.3.39), libsystemd0	0
pkexec	0.105-33	amd64	66560	65.00 KB	0	polkitd (= 0.105-33), libc6 (>= 2.34), libglib2.0-0 (>= 2.35.9), libpam0g (>= 0.99.7.1), libpolkit-agent-1-0 (= 0.105-33), libpolkit-gobject-1-0 (= 0.105-33)	1
pkg-config	0.29.2-1ubuntu3	amd64	134144	131.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.16.0), libdpkg-perl	4
plymouth	0.9.5+git20211018-1ubuntu3	amd64	946176	924.00 KB	0	init-system-helpers (>= 1.18), lsb-base (>= 3.0-6), systemd (>= 232-8~), udev (>= 232-8~), libc6 (>= 2.34), libdrm2 (>= 2.4.47), libplymouth5 (>= 0.9.5+git20211018-1ubuntu3)	5
plymouth-theme-ubuntu-text	0.9.5+git20211018-1ubuntu3	amd64	83968	82.00 KB	0	libc6 (>= 2.17), libplymouth5 (>= 0.9.2), plymouth (= 0.9.5+git20211018-1ubuntu3), lsb-release	2
policykit-1	0.105-33	amd64	29696	29.00 KB	0	pkexec (= 0.105-33), polkitd (= 0.105-33)	9
policykit-1-gnome	0.105-7ubuntu3	amd64	151552	148.00 KB	0	policykit-1, libc6 (>= 2.34), libgdk-pixbuf-2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.0.0), libpolkit-agent-1-0 (>= 0.99), libpolkit-gobject-1-0 (>= 0.99)	0
polkitd	0.105-33	amd64	532480	520.00 KB	0	dbus, default-logind | logind, libc6 (>= 2.34), libexpat1 (>= 2.0.1), libglib2.0-0 (>= 2.37.3), libpam0g (>= 0.99.7.1), libpolkit-agent-1-0 (= 0.105-33), libpolkit-gobject-1-0 (= 0.105-33), libsystemd0 (>= 213)	2
pollinate	4.33-3ubuntu2.1	all	59392	58.00 KB	1	curl, adduser, xxd | vim-common	0
poppler-data	0.4.11-1	all	13403136	12.78 MB	0	-	1
popularity-contest	1.71ubuntu3	all	195584	191.00 KB	0	debconf (>= 0.5) | debconf-2.0, dpkg (>= 1.10)	0
portaudio19-dev	19.6.0-1.1	amd64	628736	614.00 KB	1	libasound2-dev, libjack-dev, libportaudio2 (= 19.6.0-1.1), libportaudiocpp0 (= 19.6.0-1.1)	0
power-profiles-daemon	0.10.1-3	amd64	109568	107.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.43.2), libgudev-1.0-0 (>= 234), libpolkit-gobject-1-0 (>= 0.99)	0
powermgmt-base	1.36ubuntu0.22.04.1	all	26624	26.00 KB	0	-	3
ppp	2.4.9-1+1ubuntu3	amd64	1108992	1.06 MB	0	libpam-modules, libpam-runtime, procps, libc6 (>= 2.34), libcrypt1 (>= 1:4.1.0), libpam0g (>= 0.99.7.1), libpcap0.8 (>= 0.9.8), libssl3 (>= 3.0.0~~alpha1), libsystemd0	0
pptp-linux	1.10.0-1build3	amd64	108544	106.00 KB	0	libc6 (>= 2.34), ppp	0
procps	2:3.3.17-6ubuntu2.1	amd64	1421312	1.36 MB	0	libc6 (>= 2.34), libncurses6 (>= 6), libncursesw6 (>= 6), libprocps8 (>= 2:3.3.16-1), libtinfo6 (>= 6), lsb-base (>= 3.0-10), init-system-helpers (>= 1.29~)	7
